ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
7896882,2.96E-03,5.08E-04,-3.605547,-0.604869,-0.1494169,SCNN1D,sodium channel epithelial 1 delta subunit
7896908,5.83E-01,4.71E-01,0.724353,-6.376531,0.0326458,PUSL1,pseudouridylate synthase-like 1
7896917,1.28E-01,6.45E-02,-1.871528,-4.929043,-0.0955262,CPTP,ceramide-1-phosphate transfer protein
7896921,1.04E-01,4.91E-02,-1.994867,-4.701565,-0.0823898,TAS1R3,taste 1 receptor member 3
7896929,4.29E-01,3.14E-01,-1.01285,-6.129598,-0.0547493,VWA1,von Willebrand factor A domain containing 1
7896937,1.37E-01,7.02E-02,1.832275,-4.998625,0.0946307,ATAD3C///ATAD3B///ATAD3A,"ATPase family, AAA domain containing 3C///ATPase family, AAA domain containing 3B///ATPase family, AAA domain containing 3A"
7896952,1.25E-01,6.23E-02,1.887566,-4.90022,0.1066153,ATAD3A,"ATPase family, AAA domain containing 3A"
7896961,5.88E-01,4.76E-01,0.715434,-6.382876,0.0378124,ATAD3C///ATAD3B///ATAD3A,"ATPase family, AAA domain containing 3C///ATPase family, AAA domain containing 3B///ATPase family, AAA domain containing 3A"
7896983,2.15E-01,1.26E-01,-1.54436,-5.466748,-0.0763329,SSU72,"SSU72 homolog, RNA polymerase II CTD phosphatase"
7896985,6.61E-02,2.72E-02,-2.245089,-4.199631,-0.1320113,MIB2,mindbomb E3 ubiquitin protein ligase 2
7897006,4.09E-02,1.46E-02,-2.4907,-3.655775,-0.1415287,MMP23A///MMP23B,matrix metallopeptidase 23A (pseudogene)///matrix metallopeptidase 23B
7897026,4.41E-01,3.26E-01,-0.987859,-6.154172,-0.058274,CALML6,calmodulin like 6
7897034,1.86E-01,1.05E-01,-1.639762,-5.319946,-0.1085962,GABRD,gamma-aminobutyric acid type A receptor delta subunit
7897044,2.63E-01,1.65E-01,1.400572,-5.672197,0.106788,PRKCZ,protein kinase C zeta
7897066,3.14E-02,1.03E-02,-2.618866,-3.352486,-0.137304,FAAP20,Fanconi anemia core complex associated protein 20
7897068,2.88E-01,1.86E-01,1.333087,-5.762002,0.07819,SKI,SKI proto-oncogene
7897076,8.78E-03,2.02E-03,-3.179028,-1.878284,-0.1617111,MORN1,MORN repeat containing 1
7897078,1.64E-02,4.50E-03,2.913296,-2.607008,0.1402953,RER1,retention in endoplasmic reticulum sorting receptor 1
7897089,2.52E-01,1.56E-01,-1.43159,-5.629496,-0.106966,PLCH2,phospholipase C eta 2
7897119,6.01E-05,4.08E-06,4.904153,3.946214,0.2768107,FAM213B,family with sequence similarity 213 member B
7897128,7.51E-01,6.64E-01,-0.435993,-6.542155,-0.0185376,ACTRT2,actin related protein T2
7897132,2.64E-02,8.26E-03,-2.700252,-3.153132,-0.1875111,PRDM16,PR/SET domain 16
7897154,8.36E-04,1.06E-04,4.053797,0.859932,0.2296884,ARHGEF16,Rho guanine nucleotide exchange factor 16
7897172,1.13E-03,1.54E-04,3.949493,0.508219,0.2008962,TPRG1L,tumor protein p63 regulated 1-like
7897179,5.95E-01,4.84E-01,-0.7029,-6.391661,-0.0347527,TP73,tumor protein p73
7897196,4.05E-01,2.91E-01,-1.06317,-6.078299,-0.0424331,CCDC27,coiled-coil domain containing 27
7897210,3.62E-01,2.51E-01,-1.154869,-5.978593,-0.0448409,DFFB,DNA fragmentation factor subunit beta
7897227,3.32E-05,1.97E-06,-5.084143,4.644156,-0.4215758,AJAP1,adherens junctions associated protein 1
7897236,1.28E-01,6.42E-02,1.873928,-4.924743,0.171588,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2
7897257,4.17E-01,3.02E-01,1.037541,-6.104731,0.0744984,RNF207,ring finger protein 207
7897263,2.77E-02,8.80E-03,2.677599,-3.209142,0.1827284,RNF207,ring finger protein 207
7897277,7.90E-01,7.10E-01,-0.373509,-6.567246,-0.0194713,LINC00337,long intergenic non-protein coding RNA 337
7897280,1.41E-02,3.69E-03,-2.980807,-2.426782,-0.182048,HES3,hes family bHLH transcription factor 3
7897286,9.70E-01,9.55E-01,0.056377,-6.634945,0.0031924,LOC100130071,GSQS6193
7897288,5.89E-01,4.78E-01,-0.712998,-6.384595,-0.0602744,ESPN,espin
7897293,6.59E-02,2.71E-02,-2.246677,-4.196274,-0.1696593,,
7897295,1.14E-01,5.54E-02,-1.940765,-4.802989,-0.0805564,TAS1R1,taste 1 receptor member 1
7897305,5.05E-01,3.89E-01,-0.865259,-6.266002,-0.0327273,ZBTB48,zinc finger and BTB domain containing 48
7897322,7.20E-01,6.26E-01,-0.489118,-6.517789,-0.024018,PHF13,PHD finger protein 13
7897329,6.08E-01,4.98E-01,0.679865,-6.407406,0.0397918,THAP3,THAP domain containing 3
7897339,5.37E-01,4.22E-01,0.807024,-6.314025,0.0409018,CAMTA1,calmodulin binding transcription activator 1
7897368,1.97E-01,1.13E-01,-1.600056,-5.382055,-0.0690689,,
7897370,9.31E-04,1.21E-04,4.016665,0.733996,0.3063618,VAMP3,vesicle associated membrane protein 3
7897378,5.11E-03,1.02E-03,-3.394766,-1.249609,-0.4048893,PER3,period circadian clock 3
7897404,3.83E-01,2.69E-01,-1.111205,-6.02707,-0.0580416,PARK7,Parkinsonism associated deglycase
7897416,8.71E-01,8.14E-01,-0.235336,-6.609009,-0.0121927,SLC45A1,solute carrier family 45 member 1
7897422,9.71E-03,2.31E-03,-3.136049,-1.999622,-0.1920316,,
7897424,4.92E-02,1.85E-02,-2.3976,-3.867772,-0.0870969,,
7897426,9.67E-02,4.47E-02,2.03541,-4.623889,0.0769764,CA6,carbonic anhydrase 6
7897439,3.57E-02,1.22E-02,-2.556823,-3.500945,-0.1148024,,
7897441,2.52E-01,1.56E-01,1.43082,-5.630567,0.1046347,H6PD,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase
7897449,1.19E-01,5.87E-02,1.914838,-4.850687,0.2091929,SPSB1,splA/ryanodine receptor domain and SOCS box containing 1
7897460,2.61E-02,8.13E-03,-2.706028,-3.138786,-0.1994873,SLC25A33,solute carrier family 25 member 33
7897469,2.39E-03,3.92E-04,-3.68191,-0.364124,-0.1645718,TMEM201,transmembrane protein 201
7897482,7.77E-01,6.94E-01,-0.394591,-6.559212,-0.0244109,PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"
7897509,6.21E-01,5.12E-01,-0.657614,-6.422123,-0.0356958,NMNAT1,nicotinamide nucleotide adenylyltransferase 1
7897520,6.48E-01,5.44E-01,-0.609778,-6.452118,-0.0290624,,
7897522,2.98E-03,5.12E-04,-3.603198,-0.612215,-0.5040651,RBP7,retinol binding protein 7
7897527,1.00E-03,1.34E-04,-3.989312,0.641738,-0.2915173,UBE4B,ubiquitination factor E4B
7897559,2.39E-01,1.45E-01,-1.468722,-5.577205,-0.0699724,,
7897561,3.02E-03,5.21E-04,-3.59806,-0.628268,-0.1508184,KIF1B,kinesin family member 1B
7897620,3.19E-02,1.06E-02,2.610797,-3.371969,0.3099953,PGD,phosphogluconate dehydrogenase
7897632,9.22E-04,1.20E-04,-4.019984,0.74522,-0.1626589,APITD1-CORT///APITD1///CORT,"APITD1-CORT readthrough///apoptosis-inducing, TAF9-like domain 1///cortistatin"
7897648,5.83E-01,4.71E-01,0.723392,-6.377218,0.0271849,PEX14,peroxisomal biogenesis factor 14
7897661,4.13E-01,2.98E-01,-1.046806,-6.095249,-0.0542902,,
7897663,5.38E-01,4.23E-01,-0.804017,-6.316415,-0.0345564,TARDBP,TAR DNA binding protein
7897675,3.27E-01,2.20E-01,-1.234663,-5.885325,-0.1138951,ANGPTL7,angiopoietin like 7
7897683,8.13E-01,7.38E-01,0.335097,-6.580754,0.0088596,,
7897685,1.37E-01,7.00E-02,-1.833396,-4.996658,-0.1015576,UBIAD1,UbiA prenyltransferase domain containing 1
7897691,8.49E-03,1.93E-03,-3.192934,-1.838744,-0.1572187,DISP3,dispatched RND transporter family member 3
7897714,9.36E-03,2.20E-03,-3.152101,-1.954459,-0.166018,FBXO44,F-box protein 44
7897728,7.84E-01,7.03E-01,0.382672,-6.563809,0.0152747,FBXO6,F-box protein 6
7897737,1.81E-01,1.01E-01,-1.658097,-5.290783,-0.1022478,DRAXIN,dorsal inhibitory axon guidance protein
7897745,2.84E-02,9.10E-03,2.665204,-3.239621,0.1775569,AGTRAP///BRAF,"angiotensin II receptor associated protein///B-Raf proto-oncogene, serine/threonine kinase"
7897753,4.92E-01,3.76E-01,-0.889075,-6.245416,-0.0422353,C1orf167,chromosome 1 open reading frame 167
7897774,1.57E-01,8.42E-02,1.746071,-5.146625,0.1110333,CLCN6,chloride voltage-gated channel 6
7897801,3.30E-02,1.11E-02,2.59415,-3.411994,0.4622444,RNU5E-1,"RNA, U5E small nuclear 1"
7897803,1.67E-06,4.61E-08,5.965244,8.242674,0.555804,PLOD1,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"
7897824,5.50E-01,4.36E-01,0.782162,-6.333523,0.0568544,MFN2,mitofusin 2
7897849,4.13E-01,2.98E-01,1.047565,-6.094468,0.0456867,MIIP,migration and invasion inhibitory protein
7897860,8.72E-02,3.91E-02,-2.093424,-4.510268,-0.1045484,TNFRSF8,TNF receptor superfamily member 8
7897877,4.50E-01,3.35E-01,0.969229,-6.172099,0.1023002,TNFRSF1B,TNF receptor superfamily member 1B
7897890,5.83E-01,4.71E-01,-0.72356,-6.377098,-0.0428796,VPS13D,vacuolar protein sorting 13 homolog D
7897953,1.45E-01,7.56E-02,-1.797609,-5.05894,-0.0962473,SNORA59A///SNORA59B,"small nucleolar RNA, H/ACA box 59A///small nucleolar RNA, H/ACA box 59B"
7897955,3.43E-03,6.09E-04,-3.551561,-0.772795,-0.1961567,AADACL4,arylacetamide deacetylase like 4
7897960,2.84E-01,1.82E-01,-1.344247,-5.747444,-0.0734631,AADACL3,arylacetamide deacetylase like 3
7897964,9.87E-01,9.80E-01,-0.025139,-6.636211,-0.0007951,,
7897966,2.86E-02,9.16E-03,-2.663144,-3.244674,-0.108124,C1orf158,chromosome 1 open reading frame 158
7897974,4.79E-01,3.63E-01,-0.913692,-6.223558,-0.0411073,PRAMEF12,PRAME family member 12
7897978,2.32E-01,1.40E-01,-1.488706,-5.548534,-0.0453002,PRAMEF14///PRAMEF34P///PRAMEF36P///PRAMEF2///PRAMEF1,"PRAME family member 14///PRAME family member 34, pseudogene///PRAME family member 36, pseudogene///PRAME family member 2///PRAME family member 1"
7897987,1.40E-01,7.23E-02,-1.818199,-5.023244,-0.083048,PRAMEF2,PRAME family member 2
7897991,2.03E-01,1.17E-01,-1.581206,-5.411036,-0.0696582,PRAMEF8,PRAME family member 8
7897995,7.99E-01,7.21E-01,-0.35794,-6.572898,-0.0104309,,
7897997,3.54E-01,2.44E-01,-1.173437,-5.957428,-0.0575567,PRAMEF18///PRAMEF10,PRAME family member 18///PRAME family member 10
7898002,4.42E-01,3.27E-01,-0.986108,-6.155871,-0.0454431,LOC101930169///PRAMEF15///PRAMEF6///PRAMEF11///PRAMEF4///PRAMEF18///PRAMEF10///PRAMEF9///PRAMEF5,putative PRAME family member 26///PRAME family member 15///PRAME family member 6///PRAME family member 11///PRAME family member 4///PRAME family member 18///PRAME family member 10///PRAME family member 9///PRAME family member 5
7898007,7.84E-02,3.40E-02,-2.152015,-4.392581,-0.0717293,LOC101930169///PRAMEF15///PRAMEF20///PRAMEF6///PRAMEF11///PRAMEF4///PRAMEF9///PRAMEF5,putative PRAME family member 26///PRAME family member 15///PRAME family member 20///PRAME family member 6///PRAME family member 11///PRAME family member 4///PRAME family member 9///PRAME family member 5
7898012,4.37E-01,3.22E-01,-0.995991,-6.146242,-0.0397564,LOC101930169///PRAMEF15///PRAMEF20///PRAMEF6///PRAMEF11///PRAMEF4///PRAMEF9///PRAMEF5,putative PRAME family member 26///PRAME family member 15///PRAME family member 20///PRAME family member 6///PRAME family member 11///PRAME family member 4///PRAME family member 9///PRAME family member 5
7898020,4.35E-02,1.58E-02,-2.460027,-3.726399,-0.0896018,PRAMEF34P///PRAMEF36P///PRAMEF17///PRAMEF10///PRAMEF2,"PRAME family member 34, pseudogene///PRAME family member 36, pseudogene///PRAME family member 17///PRAME family member 10///PRAME family member 2"
7898026,8.12E-01,7.37E-01,0.336602,-6.580253,0.0201427,PRAMEF17///PRAMEF10,PRAME family member 17///PRAME family member 10
7898030,6.20E-01,5.12E-01,-0.65878,-6.421364,-0.0302996,PRAMEF20,PRAME family member 20
7898034,4.35E-02,1.58E-02,-2.460027,-3.726399,-0.0896018,PRAMEF34P///PRAMEF36P///PRAMEF17///PRAMEF10///PRAMEF2,"PRAME family member 34, pseudogene///PRAME family member 36, pseudogene///PRAME family member 17///PRAME family member 10///PRAME family member 2"
7898040,1.77E-01,9.79E-02,-1.672345,-5.26791,-0.0610253,LOC101930169///PRAMEF15///PRAMEF20///PRAMEF6///PRAMEF11///PRAMEF4///PRAMEF9///PRAMEF5,putative PRAME family member 26///PRAME family member 15///PRAME family member 20///PRAME family member 6///PRAME family member 11///PRAME family member 4///PRAME family member 9///PRAME family member 5
7898048,9.89E-01,9.83E-01,0.021775,-6.636289,0.0014407,PRAMEF17///PRAMEF10,PRAME family member 17///PRAME family member 10
7898052,4.96E-01,3.80E-01,-0.883008,-6.250712,-0.0488109,PRAMEF15///PRAMEF20,PRAME family member 15///PRAME family member 20
7898057,1.19E-04,9.44E-06,4.693627,3.148359,0.7186227,PDPN,podoplanin
7898070,5.05E-01,3.89E-01,0.866035,-6.26534,0.0564173,PRDM2,PR/SET domain 2
7898084,1.32E-01,6.66E-02,-1.85661,-4.955649,-0.0820078,KAZN,"kazrin, periplakin interacting protein"
7898102,7.49E-03,1.65E-03,-3.243543,-1.693685,-0.1662622,KAZN///KAZN,"kazrin, periplakin interacting protein///kazrin, periplakin interacting protein"
7898112,1.07E-04,8.32E-06,-4.725576,3.268108,-0.457856,TMEM51-AS1,TMEM51 antisense RNA 1
7898115,2.34E-01,1.41E-01,-1.483854,-5.555529,-0.1551253,TMEM51,transmembrane protein 51
7898124,4.70E-04,5.22E-05,4.247307,1.528955,0.2646958,FHAD1,forkhead associated phosphopeptide binding domain 1
7898161,1.02E-01,4.79E-02,2.005355,-4.681609,0.1435153,EFHD2,EF-hand domain family member D2
7898167,5.30E-05,3.47E-06,-4.944541,4.101593,-2.7982229,CTRC,chymotrypsin C
7898176,1.66E-04,1.43E-05,-4.58731,2.753433,-2.2827218,CELA2A,chymotrypsin like elastase family member 2A
7898184,1.26E-04,1.02E-05,-4.673845,3.074462,-2.2770016,CELA2B,chymotrypsin like elastase family member 2B
7898192,8.08E-01,7.32E-01,-0.344094,-6.577722,-0.0162636,DNAJC16,DnaJ heat shock protein family (Hsp40) member C16
7898209,3.99E-01,2.85E-01,1.076412,-6.064398,0.0406564,,
7898211,4.47E-03,8.57E-04,3.447992,-1.089591,0.1826236,DDI2///RSC1A1,"DNA damage inducible 1 homolog 2///regulatory solute carrier protein, family 1, member 1"
7898227,7.49E-01,6.61E-01,0.440482,-6.540204,0.0356069,PLEKHM2,pleckstrin homology and RUN domain containing M2
7898249,2.01E-04,1.84E-05,-4.52196,2.51345,-0.2677747,SLC25A34,solute carrier family 25 member 34
7898256,7.71E-01,6.87E-01,-0.404345,-6.555346,-0.0220593,TMEM82,transmembrane protein 82
7898263,5.73E-03,1.18E-03,3.349449,-1.384339,0.1784011,FBLIM1,filamin binding LIM protein 1
7898276,9.37E-01,9.07E-01,-0.116724,-6.629754,-0.0058607,,
7898278,8.31E-01,7.63E-01,-0.303081,-6.590897,-0.0109958,SPEN,spen family transcriptional repressor
7898294,5.86E-01,4.74E-01,-0.719065,-6.380302,-0.0195347,,
7898296,3.24E-03,5.67E-04,-3.572939,-0.706523,-0.1873309,C1orf64,chromosome 1 open reading frame 64
7898300,1.03E-01,4.84E-02,-2.001174,-4.689575,-0.1118029,CLCNKA,chloride voltage-gated channel Ka
7898314,1.64E-01,8.91E-02,-1.718563,-5.19245,-0.0795182,CLCNKB,chloride voltage-gated channel Kb
7898328,1.17E-01,5.72E-02,1.925822,-4.830552,0.1342673,SZRD1,SUZ RNA binding domain containing 1
7898337,2.35E-06,6.98E-08,5.870939,7.844741,0.4662202,NECAP2,NECAP endocytosis associated 2
7898350,7.41E-03,1.63E-03,-3.247809,-1.681374,-0.1766609,LOC440570,uncharacterized LOC440570
7898353,3.25E-01,2.18E-01,1.239234,-5.8798,0.12454,FAM231B///FAM231A,family with sequence similarity 231 member B///family with sequence similarity 231 member A
7898355,6.81E-04,8.25E-05,-4.12281,1.096108,-0.2494051,,
7898357,8.27E-05,6.02E-06,-4.80742,3.577064,-0.4541853,LOC102724562///MST1L///MST1P2///MST1,macrophage stimulating 1 pseudogene///macrophage stimulating 1 like///macrophage stimulating 1 pseudogene 2///macrophage stimulating 1
7898371,9.17E-01,8.79E-01,0.152601,-6.624953,0.0089973,FAM231A///LOC388692,family with sequence similarity 231 member A///uncharacterized LOC388692
7898373,7.58E-01,6.72E-01,-0.425201,-6.546765,-0.0171684,,
7898375,9.65E-01,9.48E-01,-0.065968,-6.634362,-0.0094298,RNVU1-17///RNU1-1///RNU1-2///RNU1-3///RNVU1-7///RNVU1-18///RNU1-4,"RNA, variant U1 small nuclear 17///RNA, U1 small nuclear 1///RNA, U1 small nuclear 2///RNA, U1 small nuclear 3///RNA, variant U1 small nuclear 7///RNA, variant U1 small nuclear 18///RNA, U1 small nuclear 4"
7898377,1.47E-01,7.74E-02,-1.786461,-5.078108,-0.0904938,CROCC,"ciliary rootlet coiled-coil, rootletin"
7898405,1.75E-02,4.91E-03,-2.883587,-2.685239,-0.1027451,,
7898407,1.82E-01,1.02E-01,-1.652231,-5.300146,-0.0615167,LOC100132147///LOC440570,uncharacterized LOC100132147///uncharacterized LOC440570
7898411,9.65E-01,9.48E-01,-0.065968,-6.634362,-0.0094298,RNVU1-17///RNU1-1///RNU1-2///RNU1-3///RNVU1-7///RNVU1-18///RNU1-4,"RNA, variant U1 small nuclear 17///RNA, U1 small nuclear 1///RNA, U1 small nuclear 2///RNA, U1 small nuclear 3///RNA, variant U1 small nuclear 7///RNA, variant U1 small nuclear 18///RNA, U1 small nuclear 4"
7898413,2.52E-08,2.37E-10,7.125748,13.327452,1.3742273,PADI1,peptidyl arginine deiminase 1
7898431,9.99E-01,9.98E-01,0.00196,-6.636523,0.0001467,PADI3,peptidyl arginine deiminase 3
7898448,4.27E-01,3.11E-01,-1.018012,-6.124448,-0.0642033,PADI4,peptidyl arginine deiminase 4
7898466,8.61E-01,8.01E-01,0.25216,-6.604936,0.0089653,PADI6,peptidyl arginine deiminase 6
7898483,2.28E-03,3.69E-04,-3.699699,-0.307508,-0.2087687,ARHGEF10L,Rho guanine nucleotide exchange factor 10 like
7898516,9.91E-01,9.86E-01,-0.017677,-6.636369,-0.0009738,ACTL8,actin like 8
7898521,8.24E-01,7.54E-01,0.314749,-6.587318,0.0141564,IGSF21,immunoglobin superfamily member 21
7898533,1.67E-02,4.60E-03,-2.905726,-2.627005,-0.1512727,KLHDC7A,kelch domain containing 7A
7898535,7.91E-01,7.11E-01,-0.371487,-6.567994,-0.0110313,,
7898537,2.06E-01,1.20E-01,-1.571457,-5.425897,-0.0907704,PAX7,paired box 7
7898549,5.29E-01,4.14E-01,0.820174,-6.303468,0.0654942,MRTO4,"MRT4 homolog, ribosome maturation factor"
7898556,3.10E-03,5.36E-04,-3.589451,-0.655132,-0.1766062,PQLC2,PQ loop repeat containing 2
7898568,6.90E-01,5.92E-01,-0.538133,-6.49284,-0.0213542,LOC644083,uncharacterized LOC644083
7898570,5.12E-03,1.02E-03,-3.39446,-1.250525,-0.3018033,,
7898572,6.08E-01,4.98E-01,-0.679916,-6.407372,-0.0163167,,
7898574,9.58E-01,9.37E-01,0.078725,-6.633445,0.0043427,MINOS1,mitochondrial inner membrane organizing system 1
7898582,1.98E-02,5.73E-03,-2.829912,-2.824887,-0.2153987,RPS14P3,ribosomal protein S14 pseudogene 3
7898585,2.46E-06,7.41E-08,5.857273,7.787303,0.4083093,MINOS1-NBL1///NBL1,"MINOS1-NBL1 readthrough///neuroblastoma 1, DAN family BMP antagonist"
7898594,9.22E-01,8.86E-01,0.143835,-6.626244,0.0074302,HTR6,5-hydroxytryptamine receptor 6
7898602,7.05E-01,6.09E-01,-0.513395,-6.505728,-0.0319936,OTUD3,OTU deubiquitinase 3
7898607,1.84E-01,1.03E-01,-1.648441,-5.30618,-0.1409109,,
7898609,7.62E-01,6.76E-01,0.419794,-6.54903,0.0355884,PLA2G5,phospholipase A2 group V
7898616,8.65E-01,8.06E-01,-0.245982,-6.606464,-0.0117191,PLA2G2F,phospholipase A2 group IIF
7898623,1.28E-03,1.81E-04,3.903822,0.356239,0.3140491,UBXN10,UBX domain protein 10
7898627,6.16E-03,1.29E-03,-3.321738,-1.466029,-0.1338076,VWA5B1,von Willebrand factor A domain containing 5B1
7898653,4.59E-01,3.44E-01,-0.95169,-6.188672,-0.0443529,FAM43B,family with sequence similarity 43 member B
7898655,7.54E-06,3.02E-07,5.531715,6.437177,0.5962413,CDA,cytidine deaminase
7898663,6.17E-01,5.08E-01,-0.664906,-6.417353,-0.0420631,PINK1,PTEN induced putative kinase 1
7898673,9.30E-01,8.96E-01,-0.130803,-6.628023,-0.0071484,,
7898675,3.50E-02,1.19E-02,-2.566599,-3.477756,-0.0824293,,
7898677,7.48E-04,9.25E-05,-4.091721,0.989378,-0.2700151,HS6ST1,heparan sulfate 6-O-sulfotransferase 1
7898679,9.18E-01,8.80E-01,0.151239,-6.625159,0.0079818,NBPF3,neuroblastoma breakpoint family member 3
7898693,5.51E-03,1.13E-03,-3.364113,-1.340895,-0.2969898,ALPL,"alkaline phosphatase, liver/bone/kidney"
7898707,1.67E-02,4.61E-03,-2.905105,-2.628644,-0.1452744,LDLRAD2,low density lipoprotein receptor class A domain containing 2
7898713,2.37E-04,2.25E-05,-4.469913,2.323859,-2.0730927,CELA3B,chymotrypsin like elastase family member 3B
7898721,6.78E-05,4.71E-06,-4.868532,3.809782,-2.2031489,,
7898723,5.30E-05,3.47E-06,-4.944202,4.100285,-1.334766,,
7898725,2.94E-04,2.93E-05,-4.400491,2.073152,-2.2463916,CELA3A,chymotrypsin like elastase family member 3A
7898732,2.12E-05,1.11E-06,-5.222608,5.190424,-2.6473031,,
7898734,6.23E-05,4.26E-06,-4.893829,3.906612,-1.7924258,,
7898736,2.20E-04,2.06E-05,-4.492506,2.405988,-0.8764842,LINC00339,long intergenic non-protein coding RNA 339
7898739,6.37E-01,5.31E-01,0.629034,-6.440314,0.0364751,CDC42,cell division cycle 42
7898750,8.54E-04,1.09E-04,-4.046729,0.835901,-0.2317749,ZBTB40,zinc finger and BTB domain containing 40
7898773,6.14E-02,2.47E-02,-2.283819,-4.117189,-0.1113918,EPHA8,EPH receptor A8
7898793,1.06E-01,5.02E-02,1.984767,-4.720694,0.2102267,C1QA,complement C1q A chain
7898799,4.17E-01,3.02E-01,1.03864,-6.103609,0.1156242,C1QC,complement C1q C chain
7898805,1.85E-01,1.04E-01,1.643339,-5.314281,0.1849511,C1QB,complement C1q B chain
7898809,3.49E-01,2.39E-01,1.185717,-5.943251,0.1162567,EPHB2,EPH receptor B2
7898833,2.94E-02,9.51E-03,2.649209,-3.27877,0.1648127,KDM1A,lysine demethylase 1A
7898854,1.19E-02,2.98E-03,-3.052113,-2.232761,-0.1098158,,
7898856,4.62E-02,1.71E-02,-2.430274,-3.794176,-0.1671893,,
7898858,1.15E-01,5.60E-02,-1.935963,-4.811869,-0.0895749,ZNF436-AS1,ZNF436 antisense RNA 1
7898869,1.76E-01,9.70E-02,-1.676722,-5.260846,-0.0719596,MDS2,myelodysplastic syndrome 2 translocation associated
7898875,4.34E-02,1.57E-02,-2.461245,-3.72361,-0.1729291,RPL11,ribosomal protein L11
7898881,3.57E-02,1.23E-02,-2.555762,-3.503456,-0.1279469,TCEB3,transcription elongation factor B subunit 3
7898894,5.42E-02,2.10E-02,-2.348299,-3.977159,-0.10377,PITHD1,PITH domain containing 1
7898902,9.82E-01,9.74E-01,0.033071,-6.635981,0.0019178,LYPLA2,lysophospholipase II
7898910,8.74E-02,3.92E-02,-2.091836,-4.513417,-0.1348936,PNRC2,proline rich nuclear receptor coactivator 2
7898916,2.70E-02,8.50E-03,-2.690174,-3.178101,-0.098862,GRHL3,grainyhead like transcription factor 3
7898939,6.91E-01,5.93E-01,-0.536176,-6.493882,-0.0458098,NIPAL3,NIPA like domain containing 3
7898957,2.38E-04,2.27E-05,-4.467798,2.316186,-0.3608656,RCAN3,RCAN family member 3
7898967,1.81E-03,2.78E-04,-3.78187,-0.043405,-0.4917491,NCMAP,non-compact myelin associated protein
7898975,2.10E-02,6.17E-03,-2.804028,-2.89145,-0.1099022,SRRM1,serine and arginine repetitive matrix 1
